CATEGORIA;Código SAP;DESCRIPCIÓN MATERIAL;PVC
;10028624;NB IP 3 15IAU7 I7 8G 8G 1T NOS;779,24
;10028625;NB IP Slim 3 15AMN8 R5 16G 512G 11S;589,01
;10028626;NB IP Slim 3 15IAH8 I5 16G 512G NOS;561,2
;10028627;NB IP Slim 3 15IAH8 I5 16G 512G 11S;614,78
;10028628;NB IP Slim 3 15IAH8 I5 8G 512G 11S      ;541,88
;10028629;NB IP Slim 3 15IAH8 I5 16G 1T NOS touch;614,56
;10028630;NB IP Slim 3 15IAH8 I5 16G 1T 11S touch;733,24
;10028631;NB IP 1 15ALC7 R7 8G 8G 1T NOS;640,32
;10028632;NB IP 1 15ALC7 R7 8G 8G 1T 11S;689,08
;10028637;NB IP Slim 3 15IAN8 I3 8G 256G NOS;396,52
;10028638;NB IP Slim 3 15IAN8 I3 8G 512G NOS;413,08
;10028639;NB IP Slim 3 15IAH8 I5 8G 256G NOS;501,4
;10028640;NB IP 3 15IAU7 I7 8G 4G 512G 11S;799,94
;10028618;NB IP 1 15AMN7 R3 16G 256G NOS;425,24
;10028622;NB IP 1 15AMN7 R3 8G 256G 11S;450,8
;10028619;NB IP 1 15AMN7 R3 16G 256G 11S;509,22
;10028648;DT IC AIO 3 24IAP7 I51235U 256G 8G;661,93
;10028645;RYZEN_Z1_EXTREME_3.3G_8C_16T;933,8
;10028633;NB IP Gaming 3 15ACH6 R5 16G 512G 11S;933,8
;10028634;NB IP Gaming 3 15ARH7 R5 16G 1T NOS;986,24
;10028641;NB LOQ 15IRH8 I5 16G 512G 11S;1.003,72
;10028635;NB IP Gaming 3 15ARH7 R5 16G 1T 11S;1.038,68
;10028642;NB LOQ 15APH8 R5 16G 512G 11S;1.102,16
;10028644;NB LN Legion Slim 5 16IRH8 I5 16G 512G N;1.176,68
;10028652;NB IP Gaming 3 15ARH7 R7 16G 512G 11S;1.264,08
;10028643;NB LN Legion Slim 5 16IRH8 I5 16G 512G 1;1.287,08
;10028647;DT IC AIO 3 24IAP7 I31215U 512G 8G;675,28
;10028636;NB LOQ 15IRH8 I7 16G 1T 11S;1.395,64
;10028646;NB YG Book 9 13IRU8 I7 16G 1T 11S;2.187,76
;10028649;DT IC AIO 3 24IAP7 I51235U 512G 8G;748,88
PERIFERICOS COMPUTO;10028674;Lenovo 15.6 Laptop Casual Backpack B210;13,37
;10028670;Lenovo 300 USB Mouse;10,02
;10028675;Lenovo Legion Active Gaming Backpack;83,33
;10028671;Lenovo Legion M300s RGB Gaming Mouse;36,08
;10028672;Lenovo 100 Stereo Analog Headset;25,74
;10028676;Lenovo IdeaPad Gaming Modern Backpack (B;23,02
;10028673;Lenovo IdeaPad Gaming H100 Headset;37,09
COMPUTADORAS CON MALETA GRATIS;10028625;NB IP Slim 3 15AMN8 R5 16G 512G 11S;575,63
;10028627;NB IP Slim 3 15IAH8 I5 16G 512G 11S;601,4
;10028628;NB IP Slim 3 15IAH8 I5 8G 512G 11S      ;528,51
;10028632;NB IP 1 15ALC7 R7 8G 8G 1T 11S;675,71
;10028637;NB IP Slim 3 15IAN8 I3 8G 256G NOS;383,15
;10028639;NB IP Slim 3 15IAH8 I5 8G 256G NOS;488,03
;10028622;NB IP 1 15AMN7 R3 8G 256G 11S;437,43
;10028634;NB IP Gaming 3 15ARH7 R5 16G 1T NOS;972,87
;10028674;Lenovo 15.6 Laptop Casual Backpack B210;13,37
